"fips","0-4","5-17","18-49","50-64","65+"
"10000","20000","20000","20000","20000","20000"
"10001","20000","20000","20000","20000","20000"
"10002","20000","20000","20000","20000","20000"
"10003","20000","20000","20000","20000","20000"
"10004","20000","20000","20000","20000","20000"
"10005","20000","20000","20000","20000","20000"
"10006","20000","20000","20000","20000","20000"
"10007","20000","20000","20000","20000","20000"
"10008","20000","20000","20000","20000","20000"
"10009","20000","20000","20000","20000","20000"
