"fips","0-4","5-17","18-49","50-64","65+"
"10000","800","800","800","800","800"
"10001","800","800","800","800","800"
"10002","800","800","800","800","800"
"10003","800","800","800","800","800"
"10004","800","800","800","800","800"
"10005","800","800","800","800","800"
"10006","800","800","800","800","800"
"10007","800","800","800","800","800"
"10008","800","800","800","800","800"
"10009","800","800","800","800","800"
"10010","800","800","800","800","800"
"10011","800","800","800","800","800"
"10012","800","800","800","800","800"
"10013","800","800","800","800","800"
"10014","800","800","800","800","800"
"10015","800","800","800","800","800"
"10016","800","800","800","800","800"
"10017","800","800","800","800","800"
"10018","800","800","800","800","800"
"10019","800","800","800","800","800"
"10020","800","800","800","800","800"
"10021","800","800","800","800","800"
"10022","800","800","800","800","800"
"10023","800","800","800","800","800"
"10024","800","800","800","800","800"
"10025","800","800","800","800","800"
"10026","800","800","800","800","800"
"10027","800","800","800","800","800"
"10028","800","800","800","800","800"
"10029","800","800","800","800","800"
"10030","800","800","800","800","800"
"10031","800","800","800","800","800"
"10032","800","800","800","800","800"
"10033","800","800","800","800","800"
"10034","800","800","800","800","800"
"10035","800","800","800","800","800"
"10036","800","800","800","800","800"
"10037","800","800","800","800","800"
"10038","800","800","800","800","800"
"10039","800","800","800","800","800"
"10040","800","800","800","800","800"
"10041","800","800","800","800","800"
"10042","800","800","800","800","800"
"10043","800","800","800","800","800"
"10044","800","800","800","800","800"
"10045","800","800","800","800","800"
"10046","800","800","800","800","800"
"10047","800","800","800","800","800"
"10048","800","800","800","800","800"
"10049","800","800","800","800","800"
"10050","800","800","800","800","800"
"10051","800","800","800","800","800"
"10052","800","800","800","800","800"
"10053","800","800","800","800","800"
"10054","800","800","800","800","800"
"10055","800","800","800","800","800"
"10056","800","800","800","800","800"
"10057","800","800","800","800","800"
"10058","800","800","800","800","800"
"10059","800","800","800","800","800"
"10060","800","800","800","800","800"
"10061","800","800","800","800","800"
"10062","800","800","800","800","800"
"10063","800","800","800","800","800"
"10064","800","800","800","800","800"
"10065","800","800","800","800","800"
"10066","800","800","800","800","800"
"10067","800","800","800","800","800"
"10068","800","800","800","800","800"
"10069","800","800","800","800","800"
"10070","800","800","800","800","800"
"10071","800","800","800","800","800"
"10072","800","800","800","800","800"
"10073","800","800","800","800","800"
"10074","800","800","800","800","800"
"10075","800","800","800","800","800"
"10076","800","800","800","800","800"
"10077","800","800","800","800","800"
"10078","800","800","800","800","800"
"10079","800","800","800","800","800"
"10080","800","800","800","800","800"
"10081","800","800","800","800","800"
"10082","800","800","800","800","800"
"10083","800","800","800","800","800"
"10084","800","800","800","800","800"
"10085","800","800","800","800","800"
"10086","800","800","800","800","800"
"10087","800","800","800","800","800"
"10088","800","800","800","800","800"
"10089","800","800","800","800","800"
"10090","800","800","800","800","800"
"10091","800","800","800","800","800"
"10092","800","800","800","800","800"
"10093","800","800","800","800","800"
"10094","800","800","800","800","800"
"10095","800","800","800","800","800"
"10096","800","800","800","800","800"
"10097","800","800","800","800","800"
"10098","800","800","800","800","800"
"10099","800","800","800","800","800"
"10100","800","800","800","800","800"
"10101","800","800","800","800","800"
"10102","800","800","800","800","800"
"10103","800","800","800","800","800"
"10104","800","800","800","800","800"
"10105","800","800","800","800","800"
"10106","800","800","800","800","800"
"10107","800","800","800","800","800"
"10108","800","800","800","800","800"
"10109","800","800","800","800","800"
"10110","800","800","800","800","800"
"10111","800","800","800","800","800"
"10112","800","800","800","800","800"
"10113","800","800","800","800","800"
"10114","800","800","800","800","800"
"10115","800","800","800","800","800"
"10116","800","800","800","800","800"
"10117","800","800","800","800","800"
"10118","800","800","800","800","800"
"10119","800","800","800","800","800"
"10120","800","800","800","800","800"
"10121","800","800","800","800","800"
"10122","800","800","800","800","800"
"10123","800","800","800","800","800"
"10124","800","800","800","800","800"
"10125","800","800","800","800","800"
"10126","800","800","800","800","800"
"10127","800","800","800","800","800"
"10128","800","800","800","800","800"
"10129","800","800","800","800","800"
"10130","800","800","800","800","800"
"10131","800","800","800","800","800"
"10132","800","800","800","800","800"
"10133","800","800","800","800","800"
"10134","800","800","800","800","800"
"10135","800","800","800","800","800"
"10136","800","800","800","800","800"
"10137","800","800","800","800","800"
"10138","800","800","800","800","800"
"10139","800","800","800","800","800"
"10140","800","800","800","800","800"
"10141","800","800","800","800","800"
"10142","800","800","800","800","800"
"10143","800","800","800","800","800"
"10144","800","800","800","800","800"
"10145","800","800","800","800","800"
"10146","800","800","800","800","800"
"10147","800","800","800","800","800"
